,team_name,games_played,runs_per_game,runs_against_per_game,logo
a41d5a05-4c11-4171-a57e-e7a1ea325a6d,Spartans,35,0.342857143,0.142857143,https://www.ncaa.com/sites/default/files/images/logos/schools/m/michigan-st.24.png
9b166a3f-e64b-4825-bb6b-92c6f0418263,Wildcats,35,0.342857143,0.285714286,https://www.ncaa.com/sites/default/files/images/logos/schools/a/arizona.24.png
8ab00d43-840a-4c96-bdee-bf88fa6e3f11,Cowboys,27,0.333333333,0.222222222,https://www.ncaa.com/sites/default/files/images/logos/schools/o/oklahoma-st.24.png
7aec5187-cb1b-45e5-8f7d-406d766cdc73,Hurricanes,30,0.333333333,0.133333333,https://www.ncaa.com/sites/default/files/images/logos/schools/m/miami-fl.24.png
2d4f0015-adb4-4877-8c15-4a6eed7eed03,Cougars,27,0.333333333,0.481481481,https://www.ncaa.com/sites/default/files/images/logos/schools/w/washington-st.24.png
c70c23c4-ab09-4797-a1af-792c848ab17f,Razorbacks,30,0.333333333,0.4,https://www.ncaa.com/sites/default/files/images/logos/schools/a/arkansas.24.png
7888d144-563d-4f84-b99b-d120aecf1fef,Rams,12,0.333333333,0.166666667,https://www.ncaa.com/sites/default/files/images/logos/schools/f/fordham.24.png
29de4e5e-ee5b-48c8-bffc-1972e7da1e30,Spartans,21,0.333333333,0.619047619,https://www.ncaa.com/sites/default/files/images/logos/schools/s/san-jose-st.24.png
06f7c904-0ac7-4125-b0f4-f4871bb69057,Golden Eagles,31,0.322580645,0.193548387,https://www.ncaa.com/sites/default/files/images/logos/schools/m/marquette.24.png
b2fda957-e15c-4fb2-8a13-6e58496f561e,Sooners,31,0.322580645,0.290322581,https://www.ncaa.com/sites/default/files/images/logos/schools/o/oklahoma.24.png
fa416692-7e09-4f0a-9bcf-0cf7d5149a14,Golden Gophers,31,0.322580645,0.258064516,https://www.ncaa.com/sites/default/files/images/logos/schools/m/minnesota.24.png
2778d005-cc14-4e58-9bf2-3fc37bffb62f,Terrapins,29,0.310344828,0.103448276,https://www.ncaa.com/sites/default/files/images/logos/schools/m/maryland.24.png
3f4515ea-4472-46b9-ac9e-16d7d8f22a38,Mustangs,29,0.310344828,0.275862069,https://www.ncaa.com/sites/default/files/images/logos/schools/s/smu.24.png
b795ddbc-baab-4499-8803-52e8608520ab,Cardinals,33,0.303030303,0.212121212,https://www.ncaa.com/sites/default/files/images/logos/schools/l/louisville.24.png
2c93a75d-5449-4ec1-9ca2-1e6c812399a4,Panthers,20,0.3,0.15,https://www.ncaa.com/sites/default/files/images/logos/schools/u/uni.24.png
5016fe1a-9571-4d10-bf5b-b9c1b496bd57,Aggies,10,0.3,0.1,https://www.ncaa.com/sites/default/files/images/logos/schools/n/new-mexico-st.24.png
ee09e6ad-3872-4745-bbb9-ebbd5c6f8318,Blue Demons,30,0.3,0.266666667,https://www.ncaa.com/sites/default/files/images/logos/schools/d/depaul.24.png
a9f5c9a2-342c-4881-9996-5d5c05ec9bd9,Bulls,10,0.3,0.2,https://www.ncaa.com/sites/default/files/images/logos/schools/b/buffalo.24.png
e52c9644-717a-46f4-bf16-aeca000b3b44,Huskies,31,0.290322581,0.322580645,https://www.ncaa.com/sites/default/files/images/logos/schools/w/washington.24.png
fea46ac5-6dad-43cd-a770-75554dbcc118,Dukes,14,0.285714286,0.214285714,https://www.ncaa.com/sites/default/files/images/logos/schools/d/duquesne.24.png
632616c5-2dbb-4017-a449-c9dfc303f026,Flyers,21,0.285714286,0.285714286,https://www.ncaa.com/sites/default/files/images/logos/schools/d/dayton.24.png
8736b67f-5924-400b-bf94-3bd804c36600,Hoyas,29,0.275862069,0.206896552,https://www.ncaa.com/sites/default/files/images/logos/schools/g/georgetown.24.png
150148c2-ca8f-414f-8f41-d94a55d4a122,Fighting Illini,29,0.275862069,0.172413793,https://www.ncaa.com/sites/default/files/images/logos/schools/i/illinois.24.png
dd8db4d8-d984-4cab-b7f6-22c6b8c2c45f,Bulldogs,22,0.272727273,0.136363636,https://www.ncaa.com/sites/default/files/images/logos/schools/f/fresno-st.24.png
df3da9d7-2d2b-44e2-99e2-08c4945a203b,Crusaders,11,0.272727273,0.363636364,https://www.ncaa.com/sites/default/files/images/logos/schools/v/valparaiso.24.png
a1ba4b89-d97c-44e2-835f-79ad3ccaa5ae,Bulldogs,26,0.269230769,0.076923077,https://www.ncaa.com/sites/default/files/images/logos/schools/m/mississippi-st.24.png
b18f34af-a7f1-4659-a2e5-fc11a31cd316,Gaels,30,0.266666667,0.166666667,https://www.ncaa.com/sites/default/files/images/logos/schools/s/st-marys-ca.24.png
80962f09-8821-48b6-8cf0-0cf0eea56aa8,Fighting Irish,34,0.264705882,0.176470588,https://www.ncaa.com/sites/default/files/images/logos/schools/n/notre-dame.24.png
aef5e386-d8e8-460c-8014-3a2f090fd988,Pirates,34,0.264705882,0.235294118,https://www.ncaa.com/sites/default/files/images/logos/schools/s/seton-hall.24.png
62a73b4a-e281-4483-a1f8-f1160a18e456,Wolf Pack,34,0.264705882,0.117647059,https://www.ncaa.com/sites/default/files/images/logos/schools/n/nevada.24.png
509aacc4-c121-46a2-800a-d5431ef181d2,Redbirds,19,0.263157895,0.210526316,https://www.ncaa.com/sites/default/files/images/logos/schools/i/illinois-st.24.png
7672ff16-8436-47e6-8546-0fb5494ec7ee,Aggies,23,0.260869565,0.304347826,https://www.ncaa.com/sites/default/files/images/logos/schools/u/utah-st.24.png
0d037a5d-827a-44dd-8b70-57603d671d5d,Utes,28,0.25,0.321428571,https://www.ncaa.com/sites/default/files/images/logos/schools/u/utah.24.png
aacdc78d-b7fa-48f6-9686-2fdb8a95030e,Golden Bears,28,0.25,0.392857143,https://www.ncaa.com/sites/default/files/images/logos/schools/c/california.24.png
532d3874-b4b3-4c5c-acc6-749a6db26c8f,Beavers,28,0.25,0.214285714,https://www.ncaa.com/sites/default/files/images/logos/schools/o/oregon-st.24.png
c31455b2-8a45-4248-aa8f-ce7eab1c6b02,Cougars,24,0.25,0.166666667,https://www.ncaa.com/sites/default/files/images/logos/schools/b/byu.24.png
c2104cdc-c83d-40d2-a3cd-df986e29f5d3,Crimson Tide,36,0.25,0.111111111,https://www.ncaa.com/sites/default/files/images/logos/schools/a/alabama.24.png
c1c1e6df-a383-4fbd-ba7b-32d4f9ef9518,Rams,24,0.25,0.166666667,https://www.ncaa.com/sites/default/files/images/logos/schools/v/vcu.24.png
d8217105-e9c2-4267-9538-3aaeea1ae167,Aces,12,0.25,0.416666667,https://www.ncaa.com/sites/default/files/images/logos/schools/e/evansville.24.png
2267a1f4-68f6-418b-aaf6-2aa0c4b291f1,Wildcats,37,0.243243243,0.27027027,https://www.ncaa.com/sites/default/files/images/logos/schools/k/kentucky.24.png
2920c5fa-1e86-4958-a7c4-1e97b8e201d8,Wildcats,25,0.24,0.08,https://www.ncaa.com/sites/default/files/images/logos/schools/d/davidson.24.png
4fbebf0a-e117-4a0c-8f15-c247535a2a1b,Demon Deacons,25,0.24,0.16,https://www.ncaa.com/sites/default/files/images/logos/schools/w/wake-forest.24.png
c1f4aae1-aa16-4095-aeab-10e5c2a1236a,Red Storm,30,0.233333333,0.333333333,https://www.ncaa.com/sites/default/files/images/logos/schools/s/st-johns-ny.24.png
d7d668ec-edaa-4d6b-be25-2ebba4128643,Rebels,26,0.230769231,0.384615385,https://www.ncaa.com/sites/default/files/images/logos/schools/o/ole-miss.24.png
7d3b9c72-cbdd-4b64-9aa3-a5bde9b75fdc,Friars,35,0.228571429,0.314285714,https://www.ncaa.com/sites/default/files/images/logos/schools/p/providence.24.png
61a3908a-7492-4b6f-809e-12c61976bb0a,Ramblers,22,0.227272727,0.090909091,https://www.ncaa.com/sites/default/files/images/logos/schools/l/loyola-chicago.24.png
9b66e1e0-aace-4671-9be2-54c8acf5ecfc,Spiders,22,0.227272727,0.227272727,https://www.ncaa.com/sites/default/files/images/logos/schools/r/richmond.24.png
6ed15092-2670-450a-99c2-61d861e87644,Longhorns,31,0.225806452,0.290322581,https://www.ncaa.com/sites/default/files/images/logos/schools/t/texas.24.png
72971b77-1d35-40b3-bb63-4c5b29f3d22b,Commodores,27,0.222222222,0.296296296,https://www.ncaa.com/sites/default/files/images/logos/schools/v/vanderbilt.24.png
17479d6f-c8f1-458b-9412-8c76279a2bb4,Waves,18,0.222222222,0.444444444,https://www.ncaa.com/sites/default/files/images/logos/schools/p/pepperdine.24.png
77ca152a-cb2f-48a5-97b2-492351250d94,Tigers,32,0.21875,0.21875,https://www.ncaa.com/sites/default/files/images/logos/schools/m/missouri.24.png
2959bd24-7007-41ae-a3a3-abdf26888cfc,Golden Hurricane,23,0.217391304,0.304347826,https://www.ncaa.com/sites/default/files/images/logos/schools/t/tulsa.24.png
f7fcbb6e-4a55-41ea-ba21-f763ed914467,Horned Frogs,29,0.206896552,0.137931034,https://www.ncaa.com/sites/default/files/images/logos/schools/t/tcu.24.png
bdb7d7a4-45f8-4bf3-ab85-15488c451494,Bulldogs,34,0.205882353,0.205882353,https://www.ncaa.com/sites/default/files/images/logos/schools/b/butler.24.png
56913910-87f7-4ad7-ae3b-5cd9fb218fd9,Cavaliers,34,0.205882353,0.058823529,https://www.ncaa.com/sites/default/files/images/logos/schools/v/virginia.24.png
4b7dedc0-7b48-49a4-aad6-8a94a33274d2,Wildcats,30,0.2,0.266666667,https://www.ncaa.com/sites/default/files/images/logos/schools/n/northwestern.24.png
f2cf9ba2-ac8c-4d92-8e7a-48dd88e8f40b,Highlanders,10,0.2,0.5,https://www.ncaa.com/sites/default/files/images/logos/schools/r/radford.24.png
eb157f98-0697-459c-9293-ddb162ceb28b,Tigers,10,0.2,0.7,https://www.ncaa.com/sites/default/files/images/logos/schools/t/texas-southern.24.png
f9e4261e-d11d-46c4-bd33-c7bbc94ef0e8,Hawks,15,0.2,0.4,https://www.ncaa.com/sites/default/files/images/logos/schools/s/saint-josephs.24.png
0e4258fa-3154-4c16-b693-adecab184c6c,Cyclones,25,0.2,0.16,https://www.ncaa.com/sites/default/files/images/logos/schools/i/iowa-st.24.png
