,team_name,games_played,runs_per_game,runs_against_per_game
fae4855b-1b64-4b40-a632-9ed345e1e952,Jayhawks,39,0.48717948717948717,0.1794871794871795
bdc2561d-f603-4fab-a262-f1d2af462277,Wolverines,39,0.48717948717948717,0.02564102564102564
4383eb6a-7fd8-4ff2-94c5-43c933121e88,Wildcats,40,0.5,0.075
61a3908a-7492-4b6f-809e-12c61976bb0a,Ramblers,22,0.22727272727272727,0.09090909090909091
10f450ce-143b-4e46-8bfe-52c644b68b07,Mean Green,8,0.0,0.125
d24efd99-8717-43b9-a086-9986a684ac04,Dons,23,0.13043478260869565,0.08695652173913043
dfe0d93f-94a5-47fb-b7aa-f74786e09acb,Flames,5,0.2,0.2
7e42fa84-68cd-47a6-b49a-18b5414d8084,Bears,8,0.375,0.5
0095032d-6143-44f2-8974-f6815fc56c5b,Black Bears,2,0.0,0.0
0113eea0-c943-4fff-9780-ae0fb099e7ef,Golden Griffins,2,0.5,1.0
054c3e85-0552-4549-b123-7e84af6e7b6c,Knights,28,0.14285714285714285,0.17857142857142858
06d15d35-4955-4fdd-83d9-32d24dbd795b,Miners,5,0.4,0.0
06f7c904-0ac7-4125-b0f4-f4871bb69057,Golden Eagles,31,0.3225806451612903,0.1935483870967742
0796c3b6-5308-4aa0-8fdc-c65d39b043c6,Wildcats,3,0.3333333333333333,1.3333333333333333
08d2a0d1-323b-4cd3-92f0-63d1a0d446e5,Saints,1,0.0,1.0
095417ae-62b0-4109-afc4-d92918599dd4,Golden Eagles,2,0.0,0.5
09920a5f-1b25-466c-b5ae-6167214f5ba9,Ospreys,8,0.375,1.25
0affc15f-641d-4211-970d-fb9fb8d36842,Fightin Blue Hens,3,0.0,0.0
0b73b9b9-1e29-4b14-b5d8-0405fe942e32,Broncs,3,0.6666666666666666,0.6666666666666666
0c0608b3-f349-4f5e-9a10-7e6a744dd0d2,Tigers,30,0.4,0.23333333333333334
0d037a5d-827a-44dd-8b70-57603d671d5d,Utes,28,0.25,0.32142857142857145
0d8a328f-20ce-410b-bed1-15fc01308aaf,Musketeers,35,0.42857142857142855,0.2571428571428571
0dadedb0-2bd3-45e7-91a3-93af6c4e87f2,Trojans,2,0.0,0.5
0e4258fa-3154-4c16-b693-adecab184c6c,Cyclones,25,0.2,0.16
0f63a6f5-bda7-4fd9-9271-8d33f555ca19,Yellow Jackets,25,0.12,0.16
10c614fa-9646-46cf-a1fb-5af96772bbb8,Jaguars,2,0.0,0.0
1165ca31-f181-4206-b727-c4e897e4b5cd,RedHawks,5,0.0,0.6
11a617d5-af03-4cce-bc8a-51114d9e41fe,49ers,9,0.2222222222222222,0.4444444444444444
12d7f888-675b-459f-9099-a38f771d8a95,Boilermakers,37,0.4594594594594595,0.16216216216216217
13358462-e05b-4449-8688-90c4622cdde8,Gamecocks,3,0.3333333333333333,0.3333333333333333
1394dd8a-040e-4509-9ee3-761d60eaf6c9,Golden Lions,6,0.0,0.5
150148c2-ca8f-414f-8f41-d94a55d4a122,Fighting Illini,29,0.27586206896551724,0.1724137931034483
1551b3a0-6d10-4ffa-8dfa-73b56f004553,Tigers,27,0.14814814814814814,0.25925925925925924
15d31915-fbd6-4ae3-8e4b-f3b563c56a18,Red Foxes,4,0.25,0.0
161354af-1f3e-4d58-88f7-e016ec74b7b6,Pirates,5,0.0,0.8
17479d6f-c8f1-458b-9412-8c76279a2bb4,Waves,18,0.2222222222222222,0.4444444444444444
1753768d-e46e-40b1-8d69-a8ae5cccec03,Lumberjacks,2,0.0,0.5
175d34a7-3823-4e4f-9f11-2464f55360b8,Greyhounds,4,1.0,1.5
18585f21-1d63-4400-974c-433fd5073c34,Warhawks,4,0.0,0.0
18e89867-9201-41ce-ba19-fadddf92fa17,Catamounts,5,0.0,0.0
1a470730-f328-4fb1-8bbf-36a069e4d6b2,Rams,26,0.11538461538461539,0.34615384615384615
1b1977ec-b32f-4ce3-95a4-d07bab4816cd,Lobos,23,0.34782608695652173,0.17391304347826086
1b78e7f6-f25c-4921-98e2-9bc565f8dfb4,Titans,4,0.0,1.25
1bddc811-44cf-4e53-b4ab-11c8dc82c9de,Braves,3,0.0,0.6666666666666666
1c7ec608-3b36-4cee-adac-9265e3792597,Gamecocks,29,0.13793103448275862,0.1724137931034483
1da70895-f77f-44ef-b216-d63c02e696eb,Ducks,32,0.4375,0.15625
1dc13b18-f9b3-4bb9-b1cf-979fcd8c2b6f,Hornets,4,0.0,0.25
1e42cce3-236b-4f3e-9650-2c45e6332e1e,Billikens,20,0.1,0.15
1e5dc9e4-c60d-487b-8279-dfbec9229faa,Bobcats,3,0.0,0.0
1f99a164-d593-4d81-85d5-0d7889d6f486,Cougars,27,0.4074074074074074,0.2222222222222222
224e3b21-30e7-4a05-9e8c-62721d581db8,Pilots,20,0.05,0.5
